"pathway","NES","padj","size","input","leadingEdge"
"Positive Regulation Of Cell Cycle (GO:0045787)",1.19636291110161,0.667520594735785,11,"TNBC signature","CCND1,APP,CCND3,CDC25B,EIF4EBP1,EGFR,LGMN"
"Positive Regulation Of Cell Differentiation (GO:0045597)",-1.41921741462538,0.466234078346551,12,"TNBC signature","SOX4,BAMBI,ID2,SMAD3"
"Positive Regulation Of Cell Growth (GO:0030307)",-1.21561641538476,0.654467389081987,12,"TNBC signature","EDN1,CDC42,BCL2"
"Positive Regulation Of Cell Migration (GO:0030335)",-0.957038597778733,0.820380029806259,17,"TNBC signature","EDN1,CDC42,ADAM10,TJP1,STAT3,IGF1R,HIF1A"
"Positive Regulation Of Cell Motility (GO:2000147)",-0.924111723629235,0.866071428571428,15,"TNBC signature","EDN1,CDC42,ADAM10,TJP1,STAT3,IGF1R"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)",-1.22919446722456,0.577490658053075,38,"TNBC signature","HMOX1,EDN1,SOX4,FOSL1,BAMBI,ID2,ADAM10,ERBB3,TJP1,BCL2"
"Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)",-1.5383455797343,0.41282407209287,14,"TNBC signature","EDN1,SOX4,ARPP19,SMAD3,CIRBP,HIF1A"
"Positive Regulation Of Cellular Catabolic Process (GO:0031331)",1.17784856278265,0.667520594735785,15,"TNBC signature","APOE,BNIP3,APP,PACSIN3,BAD"
"Positive Regulation Of Cellular Process (GO:0048522)",-1.09462114825754,0.704704081367894,41,"TNBC signature","EDN1,SOX4,CDC42,FOSL1,BAMBI,ADAM10,ERBB3,TJP1,BCL2,TPM1,IGF1R,GNAI2"
"Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280)",-0.755989307448672,0.899778181084896,11,"TNBC signature","PMAIP1"
"Positive Regulation Of Cytokine Production (GO:0001819)",0.998701993996464,0.791371887888732,16,"TNBC signature","GAPDH,HSPD1,S100A13,APP"
"Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)",-1.41943037999254,0.466234078346551,16,"TNBC signature","EDN1,ARID5B,HSPA1B,SMAD3,STAT3"
"Positive Regulation Of DNA-templated Transcription (GO:0045893)",-1.31721821344107,0.466234078346551,72,"TNBC signature","NFKBIA,EDN1,SOX4,FOSL1,NRIP1,BAMBI,ID2,NFE2L2,NFATC3,MRPL12,NFIL3,TFAP2A,FOXO3,SMAD3,STAT3,STXBP2,SQSTM1,AKAP8L,JMJD6,CHEK2,USP22"
"Positive Regulation Of Developmental Process (GO:0051094)",1.74578532143074,0.148662088166213,14,"TNBC signature","APOE,HDAC2,BNIP3,NCOA3,FIS1,SMARCA4"
"Positive Regulation Of Gene Expression (GO:0010628)",0.89498700853872,0.882541576553061,28,"TNBC signature","GAPDH,S100A13,VPS72,APP,SMARCA4,DNMT1,PIK3R3"
"Positive Regulation Of Hydrolase Activity (GO:0051345)",-0.865735182283447,0.899778181084896,12,"TNBC signature","CCL2"
"Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)",1.4214390580231,0.466234078346551,17,"TNBC signature","GAPDH,S100A4,PARP1,S100A13"
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)",1.06630965038894,0.757671564069184,38,"TNBC signature","GAPDH,S100A4,PARP1,S100A13,ITGB1BP1,APP,FIS1"
"Positive Regulation Of Kinase Activity (GO:0033674)",-1.07476667243638,0.766694370473396,10,"TNBC signature","ERBB3,IGF1R,CDKN1A,DDR1,PRKAG2,DAXX,IQGAP1,ERBB2"
"Positive Regulation Of MAPK Cascade (GO:0043410)",-0.946616921416314,0.853823953823954,14,"TNBC signature","CCL2,EDN1"
"Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)",-1.48667445496214,0.41282407209287,23,"TNBC signature","NFKBIA,ID2,NFE2L2,HSPA1B,TFAP2A,SMAD3,STAT3"
"Positive Regulation Of Mitochondrion Organization (GO:0010822)",-1.08730546458876,0.762323288690476,11,"TNBC signature","PMAIP1"
"Positive Regulation Of Multicellular Organismal Process (GO:0051240)",1.45374440004164,0.466234078346551,21,"TNBC signature","GAPDH,APOE,HDAC2,S100A13,DECR1,NCOA3,GNAS,SMARCA4"
"Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)",-0.843365815586897,0.896182834913688,10,"TNBC signature","HSPA1B,STAT3,TERF2IP,TICAM1,IKBKB"
"Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)",-0.921537079022116,0.866071428571428,42,"TNBC signature","SOX4,BAMBI,ID2,MRPL12,NFIL3,TFAP2A,FOXO3,SMAD3,STAT3,JMJD6,CHEK2,USP22,HIF1A"
"Positive Regulation Of Phosphorylation (GO:0042327)",0.864159179211526,0.896182834913688,17,"TNBC signature","CCND1,APP,PIK3R3,CCND3,PIN1"
"Positive Regulation Of Programmed Cell Death (GO:0043068)",-1.31944052774388,0.56130198915009,26,"TNBC signature","GADD45B,PMAIP1,GADD45A,SOX4"
"Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800)",-1.54771760282529,0.466234078346551,10,"TNBC signature","CSNK1A1,TRIB1,HSPA1B,DNAJB2"
"Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)",-1.76161072550127,0.148662088166213,13,"TNBC signature","CSNK1A1,HERPUD1,NFE2L2,TRIB1,HSPA1B,DNAJB2"
"Positive Regulation Of Protein Kinase Activity (GO:0045860)",-0.524842498462598,0.982160526442192,15,"TNBC signature","ERBB3,CAB39,CALM2,CDKN1A"
"Positive Regulation Of Protein Metabolic Process (GO:0051247)",-0.893102756227974,0.878079149279849,18,"TNBC signature","NFKBIA,SOX4,TIPARP"
"Positive Regulation Of Protein Modification Process (GO:0031401)",1.24538561128643,0.631025854879066,20,"TNBC signature","CCND1,CALM3,CALM1,APP,PIK3R3,CCND3,PIN1"
"Positive Regulation Of Protein Phosphorylation (GO:0001934)",1.03637473379556,0.766694370473396,23,"TNBC signature","CCND1,CALM3,CALM1,APP,PIK3R3,CCND3,PIN1"
"Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)",-0.678358430186908,0.976476630713919,14,"TNBC signature","EDN1"
"Positive Regulation Of Signal Transduction (GO:0009967)",0.57232099443673,0.982160526442192,12,"TNBC signature","ITGB1BP1,SMARCA4"
"Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)",-1.31520536099758,0.466234078346551,52,"TNBC signature","NFKBIA,EDN1,SOX4,NRIP1,NFE2L2,NFATC3,MUC1,TFAP2A,FOXO3,SMAD3,STAT3,STXBP2,SQSTM1,AKAP8L,JMJD6,HIF1A,NR3C1,ATF6"
"Positive Regulation Of Transferase Activity (GO:0051347)",1.12970327997064,0.704704081367894,13,"TNBC signature","APOE,PCNA,PIN1,RFC2"
"Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)",-1.48731799847788,0.466234078346551,11,"TNBC signature","CSNK1A1,TRIB1,HSPA1B,DNAJB2"
"Positive Regulation Of miRNA Metabolic Process (GO:2000630)",-1.2539083507005,0.602575757575758,14,"TNBC signature","FOSL1,FOXO3,SMAD3,STAT3,HIF1A,NR3C1"
"Positive Regulation Of miRNA Transcription (GO:1902895)",-1.2539083507005,0.602575757575758,14,"TNBC signature","FOSL1,FOXO3,SMAD3,STAT3,HIF1A,NR3C1"
"Proteasomal Protein Catabolic Process (GO:0010498)",-1.57135429147021,0.303580520854922,17,"TNBC signature","PMAIP1,CSNK1A1,SKP1,NFE2L2"
"Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)",-1.36613526227013,0.466234078346551,21,"TNBC signature","CSNK1A1,SKP1,HERPUD1,NFE2L2,DNAJB2"
"Protein Autophosphorylation (GO:0046777)",-0.452983246016259,0.99113475177305,13,"TNBC signature","CHEK2,IGF1R,MAPKAPK2"
"Protein Catabolic Process (GO:0030163)",1.03562745320017,0.766694370473396,14,"TNBC signature","APOE,CTSD,BNIP3,HSPA8"
"Protein Dephosphorylation (GO:0006470)",-0.623318346137762,0.977398535751639,11,"TNBC signature","PTPN12,PPP2R5E,PTPRK,PTPRF,DUSP6,DUSP3,PPP2R5A,PTPN1,DUSP11,NCK1,DUSP22"
"Protein Localization (GO:0008104)",-0.769483366926695,0.899778181084896,24,"TNBC signature","TM9SF3,RAB21,STXBP2,SQSTM1,TMED10,STX1A,ARFIP2,PTPRK"
"Protein Modification By Small Protein Conjugation (GO:0032446)",-0.859535139649449,0.896182834913688,17,"TNBC signature","SKP1,UFM1,NFE2L2"
"Protein Modification Process (GO:0036211)",-0.92431297958144,0.866071428571428,38,"TNBC signature","CCL2,ERO1A,CSNK1A1,ADAM10,TRIB1"
"Protein Phosphorylation (GO:0006468)",-1.07855260286761,0.751521859435528,32,"TNBC signature","CCL2,CSNK1A1,ADAM10,TRIB1,CAB39,CHEK2,IGF1R"
"Protein Polyubiquitination (GO:0000209)",-0.623415231772877,0.977398535751639,12,"TNBC signature","SKP1,BCL2"
"Protein Stabilization (GO:0050821)",1.03730341782381,0.766694370473396,20,"TNBC signature","GAPDH,CRTAP,HSPD1,GRN"
"Protein Targeting (GO:0006605)",1.1313880957487,0.704704081367894,10,"TNBC signature","ATG3,FIS1,TIMM17B,ICMT,TOMM34"
"Protein Targeting To Mitochondrion (GO:0006626)",1.22277405381526,0.631025854879066,10,"TNBC signature","HSPD1,FIS1,TIMM17B,TOMM34,HSPA4,FBXO7"
"Protein Transport (GO:0015031)",1.19377925156065,0.667520594735785,18,"TNBC signature","APOE,COPB2"
"Protein Ubiquitination (GO:0016567)",-0.645759811235289,0.982160526442192,20,"TNBC signature","SKP1,NFE2L2,BCL2"
"Protein-Containing Complex Assembly (GO:0065003)",0.7793367983431,0.899778181084896,20,"TNBC signature","HSPD1,ITGB1BP1,PSMG1,BAD,TRAPPC6A"
"Proteolysis (GO:0006508)",0.758518207971556,0.899778181084896,13,"TNBC signature","CTSD,BACE2,CAPN1,XPNPEP1"
