"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"JUN",8.52552802747538e-108,-0.00502254929616042,0.563,0.834,4.73891475407219e-103
"TNFRSF10B",8.82182331592884e-108,-0.19601915024905,0.049,0.172,4.90361049015904e-103
"SLC39A14",9.61535268580402e-108,-0.207742765741762,0.039,0.154,5.34469379040416e-103
"SDC2",9.92573153180596e-108,0.763998820041802,0.183,0.079,5.51721787195434e-103
"LIMCH1",1.51584703881184e-107,-0.385388340114899,0.135,0.288,8.4258357652356e-103
"SNRPN",1.78582714991117e-107,-0.227235913826554,0.179,0.351,9.92652021278124e-103
"RABGGTB",2.18175442698645e-107,-0.24506285613502,0.203,0.384,1.21272819824042e-102
"MYO1B",4.06656369711624e-107,-0.271730773327449,0.118,0.27,2.26039943104206e-102
"TRAPPC4",5.29707830199362e-107,-0.211191653551177,0.172,0.345,2.94438097416316e-102
"ID1",5.31488413048415e-107,-0.374600061469209,0.057,0.183,2.95427834392961e-102
"CYP1B1",5.54771585061084e-107,-0.374167404401401,0.034,0.145,3.08369785556204e-102
"NOP56",6.51290010787841e-107,-0.43536550682957,0.208,0.371,3.62019552496421e-102
"IGHG1",8.17135524298717e-107,0.597639056285264,0.105,0.028,4.54204781181442e-102
"RPS6KA3",8.56426484857287e-107,-0.179727959475217,0.025,0.129,4.76044661607923e-102
"NCALD",8.83565831509382e-107,-0.295758742741098,0.031,0.14,4.9113006744449e-102
"ETF1",1.13457549220096e-106,-0.259132128234789,0.24,0.423,6.30653787339902e-102
"AEN",1.71976627216369e-106,-0.22106555576744,0.056,0.179,9.5593208238219e-102
"GNG5",1.72359032504938e-106,0.603883009669142,0.73,0.758,9.58057682178697e-102
"EIF3D",2.26133159005306e-106,-0.190905226866602,0.466,0.685,1.256961164331e-101
"EIF6.1",2.55481823181211e-106,-0.446049745676529,0.414,0.596,1.42009571415276e-101
"YPEL5",3.36371716130416e-106,-0.265661585743002,0.268,0.461,1.86972218411092e-101
"ARID1B",3.85663075883134e-106,-0.301022923264104,0.073,0.202,2.1437082072964e-101
"ITGA3",4.42289837870077e-106,-0.196110390850281,0.046,0.164,2.45846806380082e-101
"IGF2BP2",5.85008170995606e-106,-0.157326712243407,0.028,0.135,3.25176791847908e-101
"TSC22D2",6.99332600827707e-106,-0.310048505734359,0.082,0.216,3.88724026170081e-101
"SPDEF",7.03041946465886e-106,0.693329349237206,0.284,0.164,3.90785865943063e-101
"CRIM1",7.3464061811361e-106,-0.267423210236864,0.067,0.195,4.0834998757845e-101
"CRK",1.07366194393298e-105,-0.225994253887651,0.138,0.296,5.96794991535148e-101
"SNRPB2",1.15884486893267e-105,-0.255713669502804,0.346,0.548,6.44143920396224e-101
"QKI",1.34702242556466e-105,-0.202455672391124,0.06,0.186,7.48742415250116e-101
"MED10",1.66103735128807e-105,-0.288638648200521,0.255,0.434,9.23287611713473e-101
"FAM89B",1.71378448384427e-105,-0.211893772724018,0.067,0.197,9.52607105344836e-101
"MORF4L2",2.22911145069136e-105,-0.326287229540345,0.489,0.69,1.23905159986679e-100
"RPS8",2.40858084839417e-105,0.320762392059107,0.986,1,1.3388096645799e-100
"NFATC3",2.4964369220061e-105,-0.256382417708998,0.108,0.253,1.38764446309709e-100
"FOSB",3.62445244101965e-105,-0.947754295110153,0.318,0.468,2.01465188934077e-100
"RARRES1",5.31500387688668e-105,-1.2876315884159,0.25,0.414,2.95434490496746e-100
"PSMB3",6.25617270681167e-105,-0.267641683807973,0.462,0.66,3.47749359908127e-100
"PELO",7.58803191762553e-105,-0.188375633954538,0.084,0.223,4.21780754141215e-100
"DAPK3",8.25026642903188e-105,-0.192816599985942,0.142,0.303,4.58591059457737e-100
"PSMA3",8.90291737022352e-105,-0.290465250768782,0.374,0.567,4.94868662023874e-100
"CTSH",9.64597419713043e-105,0.548240469658758,0.261,0.143,5.36171475747495e-100
"ETFB",9.93491019643826e-105,-0.180371604572539,0.235,0.432,5.52231983269021e-100
"ETS1",1.00814695088705e-104,-0.181891977974833,0.015,0.11,5.60378482650568e-100
"TMSB4X",1.38652715153043e-104,-0.436514967281454,0.791,0.946,7.70701117178191e-100
"NNMT",1.49078291166895e-104,-0.273127461190981,0.148,0.314,8.28651681451187e-100
"UBASH3A",1.68996446896215e-104,-0.172499440874737,0.035,0.144,9.3936675007261e-100
"LDLR",1.79485417425588e-104,-0.249816761703045,0.124,0.28,9.97669692760133e-100
"HIF1A",1.86826618155337e-104,-0.156022757359532,0.132,0.295,1.03847575701644e-99
"GIPC1",2.22129508116248e-104,-0.211772291128575,0.231,0.418,1.23470687086417e-99
"SEPHS2",2.86060432775949e-104,0.518955424618728,0.249,0.131,1.59006691558511e-99
"OLA1",5.70482363548524e-104,0.693428567962645,0.478,0.392,3.17102621778447e-99
"LINC01315",5.79826366184289e-104,0.515164745633398,0.172,0.073,3.22296485643537e-99
"MSMO1",7.41634476639461e-104,-0.25459025218693,0.13,0.286,4.12237523840044e-99
"JUP",1.87878070490119e-103,-0.217821017564603,0.281,0.476,1.04432025481932e-98
"AGBL5",2.00798639477368e-103,0.281819651454774,0.117,0.036,1.11613923753495e-98
"SERPINB8.1",5.33547296863715e-103,-0.160427352565996,0.016,0.11,2.96572264961696e-98
"LAMTOR5",5.37641105220842e-103,-0.228207517395949,0.552,0.76,2.98847808337005e-98
"RPL36",8.05646608856556e-103,-0.398673861591299,0.962,1,4.47818667532917e-98
"NFIL3",8.49341898901379e-103,-0.279496795588114,0.03,0.133,4.72106694504332e-98
"LGALS3",1.03632691475571e-102,-0.136723475912667,0.531,0.799,5.76042315566964e-98
"TSPO",1.11423032980199e-102,0.670142548645549,0.78,0.799,6.19344928820436e-98
"ABCC3",1.23316216302513e-102,-0.16158367910582,0.024,0.125,6.85453188317521e-98
"RAB5A",1.48661978682726e-102,-0.228093961698385,0.195,0.368,8.26337608507934e-98
"ARF4",1.65778077276211e-102,-0.406980905167161,0.554,0.74,9.21477442539819e-98
"VPS25",2.02285420407434e-102,-0.22325521145589,0.203,0.379,1.12440350933472e-97
"IL6ST",2.2334098729691e-102,-0.320175473173832,0.208,0.39,1.24144087788987e-97
"AMZ2",3.34502241951e-102,0.503536326054188,0.277,0.16,1.85933071188463e-97
"PDRG1",5.26196231251595e-102,-0.200155355357104,0.11,0.257,2.92486175141199e-97
"MIR4435-2HG",7.27128043384047e-102,-0.270534447338629,0.143,0.302,4.04174122915023e-97
"ISG20",1.04741840685916e-101,-0.313599417021282,0.26,0.45,5.82207521452666e-97
"TMEM54",1.07572633550585e-101,-0.206268003767046,0.148,0.307,5.97942483590925e-97
"SLU7",1.11078326027923e-101,-0.207516030638478,0.124,0.276,6.17428875226211e-97
"TRIM16",1.21955474371111e-101,-0.184069109968127,0.055,0.176,6.7788950429182e-97
"ITGB1",1.6414324586433e-101,-0.123672319805162,0.396,0.628,9.1239023213688e-97
"IFI27L2",1.6955727930105e-101,-0.152135524311874,0.103,0.252,9.42484136994886e-97
"TSPAN5",1.82886780487202e-101,-0.237674656665406,0.073,0.201,1.01657616933811e-96
"HSPH1",3.79489370268374e-101,-0.300111436666103,0.226,0.401,2.10939166463676e-96
"SPRING1",4.2572801161337e-101,-0.194397418672246,0.063,0.187,2.36640915255292e-96
"MICA",1.07764964178767e-100,-0.181099093153736,0.073,0.202,5.99011553387677e-96
