"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LDHB",1.4037748844592e-54,1.87124099130144,0.563,0.588,7.80288269526645e-50
"CLCF1",1.60546445732643e-54,-0.208692758192265,0.018,0.115,8.92397418604895e-50
"MVP",2.09191715516464e-54,-0.158869407118514,0.148,0.313,1.16279215069826e-49
"ATG101",2.15878127679299e-54,-0.172426347867426,0.233,0.425,1.19995857270538e-49
"INTS6",2.85633879656498e-54,-0.357540433817745,0.111,0.25,1.58769592007064e-49
"PLEKHA3",3.35742488636698e-54,-0.191439436437505,0.08,0.212,1.86622462308708e-49
"C12orf75",4.01358870229035e-54,0.510312359747835,0.156,0.061,2.23095328016809e-49
"UBTD2",4.52242507805743e-54,-0.154044201858627,0.022,0.121,2.51378997963822e-49
"PIK3IP1",5.4453314499641e-54,-0.229892470085278,0.055,0.175,3.02678748646254e-49
"REXO4",5.62281192387173e-54,-0.165894889518172,0.083,0.218,3.1254400078841e-49
"PNPLA8",6.30481908088521e-54,-0.235073082495769,0.116,0.263,3.50453368611005e-49
"CRTAP",6.7597101819816e-54,0.669656360515974,0.233,0.124,3.75738490465447e-49
"LRATD2",6.76036856675045e-54,-0.204257924607909,0.089,0.229,3.75775086782824e-49
"SNAI2",8.22195403981558e-54,0.55501077442483,0.111,0.033,4.57017315303149e-49
"MACC1",8.74858473669579e-54,-0.224644780703698,0.033,0.138,4.86290082589235e-49
"MTCH2",1.01163333195716e-53,0.797338244073002,0.428,0.342,5.6231638756839e-49
"JMJD1C",1.32008495508812e-53,-0.203870403256946,0.196,0.376,7.33769222285732e-49
"MYO1B",1.6978669730893e-53,-0.227831543926317,0.091,0.23,9.43759356991685e-49
"SAA4",1.71380967934786e-53,-0.196532683921459,0.022,0.119,9.52621110265508e-49
"STK40",1.75501743707525e-53,-0.165630885111106,0.052,0.171,9.7552644239828e-49
"GGCT",1.77729258969692e-53,0.770239121059577,0.48,0.414,9.87908085983034e-49
"VPS25",1.81636200982922e-53,-0.177038448725693,0.197,0.378,1.00962482316357e-48
"KLF10",1.85656078664291e-53,-0.260075660286037,0.143,0.304,1.03196931325546e-48
"TNFAIP8",2.01891924089225e-53,-0.20947082569468,0.059,0.181,1.12221626004996e-48
"COMMD3",2.19545997531265e-53,-0.160350490871951,0.139,0.299,1.22034642727754e-48
"RNF181",2.22063691019041e-53,-0.230722315043801,0.43,0.65,1.23434102652934e-48
"POLR1D",2.24263360797903e-53,-0.205985479357239,0.464,0.701,1.24656789099514e-48
"RBPMS-AS1",2.42958886676887e-53,-0.279270403961591,0.013,0.103,1.35048697159348e-48
"CSRP1",2.5543758771411e-53,0.860875828191068,0.484,0.4,1.41984983130888e-48
"ALKBH5",2.95427137335528e-53,-0.167606505534115,0.099,0.242,1.64213174287953e-48
"GMPPB",3.26963665435894e-53,-0.191702371688633,0.102,0.244,1.81742753432542e-48
"CPQ",3.5119163810643e-53,0.389690803940868,0.135,0.047,1.95209872041459e-48
"TNIP2",4.13704556083648e-53,-0.142570046442891,0.093,0.234,2.29957677499096e-48
"EIF6.1",4.24283945478263e-53,-0.346164951977081,0.425,0.629,2.35838231094092e-48
"CIAO2A",4.36713967405523e-53,0.610350865778588,0.322,0.208,2.4274745878236e-48
"RPL36",6.86357311530926e-53,-0.417567413308878,0.967,1,3.81511711614465e-48
"BORCS7",6.93227277527765e-53,-0.237820778593056,0.084,0.217,3.85330382213808e-48
"SOX9.1",8.0638095830844e-53,-0.218948825021784,0.224,0.409,4.48226855675746e-48
"CA2",9.42022221727267e-53,-0.340309700266493,0.14,0.299,5.23623051947101e-48
"TAF10",1.03990862793932e-52,-0.149334547166663,0.089,0.226,5.7803321084007e-48
"NIBAN1",1.21722987617359e-52,-0.160156200229103,0.058,0.181,6.7659722667109e-48
"TVP23B",1.43171144054847e-52,-0.130197036456065,0.089,0.229,7.95816804228869e-48
"CFL2",1.44217676155462e-52,-0.149558978811822,0.074,0.204,8.01633952910136e-48
"GLB1.1",1.78847213619826e-52,-0.155786289649323,0.164,0.336,9.94122236905805e-48
"SYCP2",2.03074712851668e-52,0.632291331856049,0.433,0.334,1.128790791386e-47
"FHL2",2.26619587021183e-52,-0.168625944724959,0.207,0.39,1.25966497445725e-47
"ALDH9A1",2.56481813658084e-52,0.678771860594165,0.36,0.253,1.42565416121846e-47
"HCCS",2.59896603613795e-52,-0.154012319161594,0.11,0.256,1.44463527118728e-47
"TRAPPC2B",2.83309473403417e-52,-0.152625944333589,0.084,0.218,1.57477570791289e-47
"DUSP6",3.06031491378647e-52,-0.176047734773773,0.052,0.17,1.70107604482821e-47
"ENO1",3.28901614223039e-52,-0.45117596861065,0.787,0.891,1.82819962265876e-47
"TMEM87A",4.98219866493821e-52,-0.125809372078915,0.223,0.42,2.7693551279059e-47
"ANKRD10",5.25211489424164e-52,-0.158922129750367,0.168,0.337,2.91938806396422e-47
"SNHG15",5.53059778892659e-52,-0.335376352996558,0.197,0.365,3.07418278097485e-47
"GNG12",5.62452285256705e-52,-0.166290484496883,0.168,0.334,3.1263910275994e-47
"NUFIP2",5.81091604316964e-52,-0.177859815666375,0.101,0.243,3.22999768259585e-47
"MPP5",6.06714945421535e-52,-0.176451836938344,0.062,0.183,3.3724250241256e-47
"PNISR",7.13457116413724e-52,-0.118603987059837,0.376,0.621,3.96575138158568e-47
"FAM133B",7.17392362495966e-52,-0.190334934374033,0.242,0.427,3.98762544693383e-47
"FAIM",8.92789161953766e-52,0.891839513773823,0.189,0.088,4.96256855672001e-47
"HLTF",1.04752543772853e-51,0.346125418208823,0.146,0.055,5.82267014561404e-47
"PTDSS1",1.41745282600675e-51,0.467056543078525,0.204,0.099,7.87891153335849e-47
"AMD1",1.49216498270461e-51,-0.239261430674891,0.267,0.453,8.2941990563636e-47
"GNL3",1.97442275403892e-51,-0.224327192768818,0.271,0.462,1.09748288783253e-46
"N4BP2L2",2.00626122704066e-51,-0.164161140580712,0.367,0.599,1.11518030305055e-46
"UPP1",2.9259461631868e-51,-0.40576816618108,0.12,0.26,1.62638717480739e-46
"CYP27A1",3.14040785595443e-51,-0.364280104783113,0.114,0.252,1.74559570673227e-46
"STC2",3.14259458884438e-51,-0.300934039143605,0.071,0.198,1.74681120220915e-46
"ANKRD12",3.40227275729535e-51,-0.201582995854335,0.254,0.443,1.89115331214262e-46
"MED28",3.51454384734236e-51,-0.119429444579421,0.232,0.427,1.95355919754525e-46
"PLD3",4.34612760804044e-51,0.544940239370205,0.337,0.224,2.41579503092928e-46
"RPL6",5.09530953662873e-51,-0.151610284730148,0.961,0.998,2.83222780593508e-46
"OAZ2",7.06538859921989e-51,-0.172005931087591,0.192,0.364,3.92729625287638e-46
"UCHL1",7.39906949680764e-51,0.912855466251755,0.131,0.047,4.11277277980053e-46
"TMEM11",8.38537310618228e-51,-0.144601375190306,0.163,0.326,4.66100964107142e-46
"TRIM2",8.59909272048059e-51,-0.171783113494777,0.115,0.259,4.77980568867914e-46
"ICAM1",1.1274638162991e-50,-0.0964442009684118,0.078,0.209,6.26700762289856e-46
"CA12",1.14024885971173e-50,-0.162799409802437,0.056,0.174,6.33807328670763e-46
"TSFM",1.17027822782134e-50,-0.160746360932702,0.089,0.223,6.50499152934493e-46
"TPM1",1.29226556367186e-50,-0.0440710027052877,0.579,0.829,7.18305813567005e-46
"MPZL3",1.31753658526433e-50,-0.163200624416908,0.027,0.125,7.32352710919176e-46
"TPI1",1.32917269746506e-50,0.445816065610432,0.884,0.9,7.38820643885953e-46
"MBD2",1.33065195064544e-50,-0.233344502649112,0.061,0.178,7.39642886766268e-46
"CAPG",1.48190277211144e-50,0.924521329644206,0.453,0.388,8.23715655878142e-46
"DDX24",1.72375729195022e-50,-0.108200540629688,0.307,0.526,9.58150490730529e-46
"CHD1",1.74787237945138e-50,-0.17012246714996,0.144,0.301,9.71554862118052e-46
"ATP6V0E2",1.99070072814083e-50,0.500839586154102,0.182,0.084,1.10653099973708e-45
"HES4",2.04411089555155e-50,-0.143040308387137,0.166,0.337,1.13621904129233e-45
"NLRP6.1",2.0570606331189e-50,-0.177140436379615,0.03,0.129,1.14341715291914e-45
"DSC2",2.19298151997725e-50,-0.20899495557854,0.026,0.122,1.21896877787935e-45
"BEX5",2.228624274049e-50,-0.161782474156518,0.022,0.116,1.23878080273014e-45
"SOCS3",2.24615207875687e-50,-0.172955887531969,0.116,0.261,1.24852363297701e-45
"CACYBP",2.47310311879151e-50,0.719166506651009,0.49,0.409,1.37467436858026e-45
"LARP1B",2.90397707269878e-50,-0.175789899630319,0.062,0.18,1.61417565585961e-45
"PFKP",3.37367299266417e-50,-0.110513733492539,0.129,0.282,1.87525613297238e-45
"AHR",3.7894579781261e-50,-0.17491171062631,0.088,0.219,2.10637021714139e-45
"SNF8",4.61120081086476e-50,-0.138347208888758,0.227,0.409,2.56313597071918e-45
"CHI3L1",5.12415099968996e-50,-0.600445933061123,0.228,0.389,2.84825933317767e-45
"SYNJ2BP",5.99211719939605e-50,-0.156887775897446,0.045,0.154,3.3307183452843e-45
"CISD1",6.17131558046672e-50,-0.147973331454158,0.26,0.45,3.43032576540242e-45
"ARHGAP26",1.25881909325742e-49,-0.167644127773077,0.024,0.117,6.99714592987139e-45
"CRIM1",1.53651712103929e-49,-0.228153516057801,0.066,0.183,8.54073041729691e-45
"CSNK1A1",1.56353720100662e-49,-0.167022485107443,0.435,0.662,8.69092153179531e-45
"MGLL",1.77334104637322e-49,-0.205329807053147,0.062,0.182,9.85711620626553e-45
"RABGGTB",1.92175520124509e-49,-0.155556437392779,0.177,0.348,1.06820762861208e-44
"DPYSL2.1",2.005302498117e-49,-0.187798321608717,0.075,0.199,1.11464739357834e-44
"HRAS",2.41520196339653e-49,-0.151847738468212,0.078,0.206,1.34249001135396e-44
"PSMB6",2.44800729383377e-49,-0.259756889761993,0.496,0.698,1.3607248542775e-44
"C16orf74",2.55641454071638e-49,0.259731836802038,0.1,0.028,1.4209830224572e-44
"COL6A2",2.71540146068188e-49,-0.0805341161526824,0.154,0.32,1.50935590192003e-44
"MICA",3.69870081478847e-49,-0.15990978416967,0.068,0.19,2.05592284790017e-44
"TRA2B",3.98258228625875e-49,-0.269964962635496,0.336,0.535,2.21371836381693e-44
"TK1",4.01756878910084e-49,0.476113073364839,0.132,0.048,2.2331656114217e-44
"PFDN1",4.41864512174955e-49,-0.14747778706568,0.177,0.347,2.45610389092449e-44
"ERP44",4.45633918910829e-49,-0.205452014087911,0.174,0.334,2.47705613826584e-44
"CCDC71L",4.64155433181859e-49,-0.208743896090684,0.041,0.145,2.58000797534136e-44
"ATAD1",8.12343366417228e-49,-0.16286007079684,0.095,0.229,4.51541060223016e-44
"SOX4",8.97341139024025e-49,-0.428977470965672,0.484,0.677,4.98787072126504e-44
"PSTPIP2",9.41534887315381e-49,-0.183643157880576,0.052,0.163,5.23352167114255e-44
"PEX11B",1.10691043442548e-48,0.336873009658309,0.168,0.073,6.15276164975404e-44
"TMEM33",1.23472462477484e-48,-0.170171622627538,0.094,0.225,6.86321682681097e-44
"NDUFA7",1.31518753784282e-48,-0.171049571738065,0.13,0.275,7.31046992909929e-44
"ARID1B",1.40412055210067e-48,-0.202321663003987,0.061,0.177,7.80480408885158e-44
"IAPP",1.4632100031983e-48,0.646288413023985,0.379,0.281,8.13325280277775e-44
"NDUFB10",1.53345706883838e-48,0.530413202115611,0.643,0.653,8.52372111713812e-44
"IL6R",2.26301921282634e-48,-0.184042881245143,0.028,0.123,1.25789922944952e-43
"PARP9",2.34906492893542e-48,0.325425344827933,0.116,0.039,1.30572774074875e-43
