"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMX2",3.62957924319327e-89,-0.38586954563458,0.285,0.441,9.58971131844093e-85
"PLAU",3.70523497485965e-89,-0.395578553981303,0.008,0.117,9.78960132707668e-85
"FEM1B",4.14524025307121e-89,-0.224427004244272,0.089,0.259,1.09521392726395e-84
"VPS28",4.4313257992237e-89,0.520628790520911,0.656,0.653,1.17080058941289e-84
"RMRP.1",4.67635523548913e-89,-0.580544375752792,0.449,0.612,1.23553981676858e-84
"CEBPZ",5.32786813070344e-89,-0.1884185180086,0.205,0.407,1.40767603881316e-84
"TBC1D23",5.91374111291931e-89,-0.20900791413802,0.061,0.218,1.56246953944441e-84
"TFF1",7.72636685042406e-89,-1.53791860691785,0.005,0.106,2.04138338555054e-84
"SRP14",7.77118188815507e-89,-0.217950926152813,0.833,0.951,2.05322396666945e-84
"COX7A1",7.89968920702984e-89,-0.163008105605326,0.017,0.123,2.08717688538935e-84
"MT1F",8.29805130754545e-89,0.408114951429803,0.379,0.197,2.19242813596658e-84
"TBPL1",1.01370413104356e-88,-0.204584395736233,0.118,0.299,2.67830768463019e-84
"EXOSC4",1.14676263595033e-88,0.31672401014529,0.325,0.424,3.02986156044437e-84
"RPL19",1.17286922988839e-88,0.0737827458967306,0.984,0.999,3.09883779228811e-84
"EMC4",1.24723222559771e-88,-0.347729794924604,0.426,0.615,3.29531226325171e-84
"EIF1B",1.33363985873722e-88,-0.286259863103554,0.371,0.586,3.52360987076961e-84
"PARP9",1.60261703309073e-88,0.362311121436619,0.187,0.07,4.23427446312901e-84
"CHCHD7",1.63781592227458e-88,0.540136714229358,0.316,0.27,4.32727344824166e-84
"IMPA2",1.81485708007553e-88,0.304609875781894,0.301,0.135,4.79503389126757e-84
"PFDN2",2.54962807816561e-88,-0.49249187199106,0.629,0.724,6.73637234532137e-84
"TMEM30B",2.78140870919513e-88,-0.276281956557615,0.065,0.224,7.34875995056446e-84
"CHORDC1",2.98874079227271e-88,-0.359654069036901,0.177,0.368,7.89655204726372e-84
"TRAPPC3",3.90976965316561e-88,-0.273577823917555,0.443,0.654,1.03300024006289e-83
"BACE2",4.03635385256366e-88,0.451325988052336,0.466,0.381,1.06644505138585e-83
"EVA1B",4.79631825998082e-88,-0.470589187363255,0.108,0.257,1.26723524746953e-83
"REPIN1",5.67186328171354e-88,-0.195220440628059,0.099,0.271,1.49856299766153e-83
"RNF126",5.97060216552697e-88,-0.361378196115601,0.249,0.428,1.57749279815388e-83
"ACSF3",7.99556581435439e-88,-0.0148776134770996,0.028,0.1,2.11250844381057e-83
"PPIC",8.81104234429658e-88,0.345738766315249,0.449,0.408,2.3279654977866e-83
"ZNF428",8.84457597234644e-88,0.506641164618505,0.448,0.292,2.33682541765365e-83
"C1orf109",1.1175042097472e-87,-0.21515544622261,0.064,0.223,2.95255787257309e-83
"LUCAT1",1.1180632277059e-87,-0.200672849443012,0.004,0.102,2.95403485392177e-83
"C14orf119",1.27255063166232e-87,-0.212613299517161,0.243,0.454,3.36220602391501e-83
"MAP7",1.38804101314551e-87,-0.155640035359165,0.105,0.269,3.66734316083176e-83
"ARMT1",1.60305618542507e-87,-0.136862228912813,0.052,0.184,4.23543474751158e-83
"SSBP3",1.83856350439433e-87,0.173096704072633,0.191,0.061,4.85766863496027e-83
"C20orf27",2.27014262217613e-87,0.431281174367844,0.354,0.204,5.99794382205155e-83
"KCNN4",2.29267246960613e-87,-0.24419023840291,0.257,0.469,6.05746993194636e-83
"HOXB2",2.33142115390023e-87,0.0584128049705689,0.066,0.135,6.1598478307198e-83
"LINC00339",3.49925174507072e-87,0.211816041938788,0.115,0.026,9.24537303565134e-83
"ISCA1",4.33976227117389e-87,-0.275706528145546,0.217,0.423,1.14660858966685e-82
"COPS9",4.82942847198322e-87,-0.432490332078078,0.549,0.733,1.27598329658269e-82
"PFDN1",4.98668742938507e-87,-0.261939833706387,0.236,0.445,1.31753268571783e-82
"HSPA4",6.52960781543423e-87,-0.0855484780331376,0.168,0.337,1.72518768091588e-82
"PLAT",6.81108279577985e-87,-0.396257233795355,0.043,0.18,1.79955618547299e-82
"KCTD14",6.90002916417323e-87,-0.109763789467204,0.01,0.104,1.82305670546621e-82
"ELF3",8.51224593349805e-87,-0.417654677198778,0.587,0.783,2.24902049808952e-82
"AKR1C1",9.06242981364487e-87,-1.39604649792961,0.012,0.121,2.39438458106311e-82
"UNC45A",1.03132782546024e-86,0.355607034299993,0.321,0.17,2.7248712476485e-82
"COASY.1",1.09378476046422e-86,-0.249566983018373,0.156,0.349,2.88988871562253e-82
"AAMDC",1.17230156728345e-86,0.416522939794801,0.42,0.238,3.09733797091961e-82
"HNRNPA1L2",1.19020723588456e-86,-0.0621651866401008,0.035,0.14,3.14464653793059e-82
"HMGN1",1.34218391376378e-86,0.0676456568066128,0.812,0.921,3.54618411855527e-82
"GOLM1",1.39197455483328e-86,-0.487452308622886,0.187,0.332,3.677735971325e-82
"BAG1",1.39971889406472e-86,-0.417597215838366,0.405,0.591,3.6981972900084e-82
"GGNBP2",1.50168997226818e-86,-0.285342749117593,0.239,0.446,3.96761507572977e-82
"LCN2",1.89540319487843e-86,0.855839373394319,0.499,0.437,5.00784478118829e-82
"ECE1",2.09433972093363e-86,-0.247777214205078,0.061,0.212,5.53345497667874e-82
"NTHL1",2.10805051759144e-86,0.342982500716868,0.313,0.158,5.56968027252834e-82
"TM4SF1-AS1",2.41173535498771e-86,0.255632057588011,0.243,0.092,6.37204598141302e-82
"ICAM1",2.42067312898905e-86,-0.324767356009024,0.063,0.219,6.39566047410196e-82
"TNIP2",2.56623207953983e-86,-0.263288370265808,0.147,0.336,6.78024177735218e-82
"FERMT2",3.12780074260578e-86,-0.284741604989665,0.112,0.283,8.26396234203874e-82
"SUMO1",3.52804781371124e-86,0.221143624817489,0.685,0.774,9.32145512860646e-82
"CLIC1",4.66000067206929e-86,0.148323083329775,0.778,0.868,1.23121877756743e-81
"AHNAK2",4.76314523562579e-86,0.195329105127137,0.174,0.05,1.25847060270469e-81
"CYBRD1",5.10724805146189e-86,0.156552705306124,0.24,0.103,1.34938600767675e-81
"EIF2S2",7.125656320233e-86,-0.0566988640303507,0.623,0.793,1.88266965636876e-81
"TLE1",8.16657400545746e-86,-0.281112291840193,0.13,0.311,2.15769051798191e-81
"MRM3",9.31314498276779e-86,-0.128761408417027,0.065,0.208,2.46062603589708e-81
"SYCE3",9.52083347912841e-86,0.115585154986763,0.126,0.027,2.51549941352052e-81
"AP1S3",1.14398696103772e-85,-0.179242252124097,0.032,0.166,3.02252794975775e-81
"MYC",1.16932154239821e-85,-0.645569507587576,0.402,0.55,3.08946444717032e-81
"HACD3",1.3063847638879e-85,-0.326316433417362,0.225,0.429,3.45159918466823e-81
"MRPS2",1.37921512495443e-85,-0.250209610222208,0.216,0.42,3.6440242816421e-81
"B2M",1.51391390182654e-85,0.0138638420386865,0.895,0.973,3.9999119200159e-81
"AGPS",1.6076223862417e-85,-0.0748430932069507,0.036,0.143,4.2474991066892e-81
"RTL8C",1.64127934136509e-85,0.439152761758089,0.352,0.203,4.3364241478207e-81
"NUP88",1.83392373736682e-85,-0.134989023449358,0.06,0.206,4.84540990649688e-81
"ISCU",2.26830900926562e-85,-0.229909290614759,0.408,0.623,5.99309923338068e-81
"ICA1",3.75338508838943e-85,-0.118603284454238,0.136,0.297,9.91681874203372e-81
"PPP1R12B",4.43066240528169e-85,0.181841154645376,0.17,0.049,1.17062531409948e-80
